word,total_count,high_emotion_count,high_emotion_ratio,avg_intensity,intensity_lift,dominant_emotion,dominant_emotion_score,negative_ratio,emo_anger,emo_fear,emo_joy,emo_sadness,emo_disgust,emo_surprise,emo_trust,emo_anticipation,trigger_score
president,2234,738,0.3303491495076097,0.4803043867502238,-0.011498303832735868,anticipation,385,0.34384384384384387,0.05416293643688451,0.024619516562220233,0.09937332139659803,0.008952551477170993,0.01477170993733214,0.009847806624888093,0.09623992837958818,0.17233661593554164,23.42921853960166
donald,1637,416,0.25412339645693344,0.3604153940134392,-0.13138729656952047,anticipation,232,0.31343283582089554,0.028100183262064753,0.012828344532681736,0.09896151496640196,0.00794135613927917,0.015271838729383017,0.014050091631032376,0.04153940134392181,0.1417226634086744,18.42453707457578
trump,2256,623,0.27615248226950356,0.40115248226950356,-0.0906502083134561,anticipation,359,0.33204633204633205,0.034574468085106384,0.02127659574468085,0.09973404255319149,0.006648936170212766,0.01374113475177305,0.012411347517730497,0.053634751773049646,0.15913120567375885,20.21861553571555
well,852,298,0.34976525821596244,0.5223004694835681,0.030497778900608452,anticipation,196,0.3319327731092437,0.04342723004694836,0.02699530516431925,0.107981220657277,0.014084507042253521,0.008215962441314555,0.012910798122065728,0.07863849765258216,0.2300469483568075,24.21399717219469
thank,1022,106,0.10371819960861056,0.1634050880626223,-0.32839760252033734,joy,64,0.08064516129032258,0.0029354207436399216,0.00684931506849315,0.06262230919765166,0.0,0.0,0.014677103718199608,0.04892367906066536,0.0273972602739726,3.7102379047150693
you,6934,2594,0.3740986443611191,0.6003749639457745,0.10857227336281483,anticipation,1450,0.35440093059325317,0.05898471300836458,0.04528410729737525,0.13541967118546294,0.011537352177675224,0.016008076146524372,0.019325064897606,0.10470147101240265,0.20911450822036343,26.540812257813865
very,2407,900,0.3739094308267553,0.6173660157872871,0.12556332520432745,anticipation,530,0.3556531284302964,0.04819277108433735,0.04486913169921063,0.15621105110095554,0.02534275031159119,0.01620274200249273,0.018695471541337765,0.08766098878271708,0.22019110926464477,26.7186724580688
much,811,175,0.2157829839704069,0.32922318125770655,-0.1625795093252531,anticipation,106,0.3096774193548387,0.02836004932182491,0.012330456226880395,0.07891491985203453,0.004932182490752158,0.013563501849568433,0.007398273736128237,0.0530209617755857,0.13070283600493218,16.5068111947015
honor,108,62,0.5740740740740741,0.9259259259259259,0.43412323534296626,joy,51,0.0759493670886076,0.037037037037037035,0.009259259259259259,0.4722222222222222,0.0,0.009259259259259259,0.027777777777777776,0.2037037037037037,0.16666666666666666,29.01935487550653
have,3777,1685,0.4461212602594652,0.7569499602859412,0.2651472697029815,anticipation,939,0.3647186147186147,0.08234048186391316,0.0566587238549113,0.17103521313211545,0.019327508604712735,0.020121789780248873,0.019062748212867357,0.1397934868943606,0.24861000794281177,31.093824531944055
friend,61,20,0.32786885245901637,0.5573770491803278,0.06557435859736815,joy,16,0.045454545454545456,0.01639344262295082,0.0,0.26229508196721313,0.0,0.0,0.01639344262295082,0.08196721311475409,0.18032786885245902,15.049044285449414
mine,48,11,0.22916666666666666,0.4791666666666667,-0.012636023916292982,joy,12,0.13333333333333333,0.020833333333333332,0.0,0.25,0.0,0.020833333333333332,0.0,0.020833333333333332,0.16666666666666666,13.056703023631385
good,861,235,0.27293844367015097,0.4099883855981417,-0.08181430498481795,anticipation,149,0.285,0.030197444831591175,0.025551684088269456,0.08826945412311266,0.005807200929152149,0.004645760743321719,0.004645760743321719,0.07781649245063879,0.17305458768873402,18.75555753150035
become,51,26,0.5098039215686274,0.7450980392156863,0.2532953486327266,anticipation,12,0.25,0.0392156862745098,0.0196078431372549,0.13725490196078433,0.0392156862745098,0.0196078431372549,0.0392156862745098,0.21568627450980393,0.23529411764705882,30.096432470646715
friends,79,32,0.4050632911392405,0.6962025316455697,0.20439984106261,anticipation,22,0.40625,0.06329113924050633,0.05063291139240506,0.13924050632911392,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.10126582278481013,0.27848101265822783,30.16879934243157
actually,367,143,0.3896457765667575,0.6430517711171662,0.1512490805342065,anticipation,70,0.38311688311688313,0.05722070844686648,0.05994550408719346,0.13896457765667575,0.013623978201634877,0.02997275204359673,0.0326975476839237,0.11989100817438691,0.1907356948228883,28.39556645946595
through,271,122,0.45018450184501846,0.8118081180811808,0.32000542749822114,anticipation,89,0.36507936507936506,0.07749077490774908,0.04428044280442804,0.15129151291512916,0.014760147601476014,0.033210332103321034,0.01845018450184502,0.14391143911439114,0.3284132841328413,31.74457394137362
the,13317,6521,0.4896748516933243,0.836674926785312,0.3448722362023523,anticipation,3256,0.3253727404670801,0.08004805887211834,0.06465420139671096,0.18127205827138243,0.013967109709394007,0.026507471652774648,0.023053240219268602,0.20267327476158295,0.24449951190208005,32.34938993295062
and,11760,5969,0.5075680272108843,0.9102040816326531,0.4184013910496934,anticipation,3402,0.3454597536522486,0.08681972789115647,0.07304421768707484,0.21437074829931974,0.019302721088435375,0.025935374149659865,0.027210884353741496,0.17423469387755103,0.2892857142857143,34.30760693394781
everything,270,103,0.3814814814814815,0.5888888888888889,0.09708619830592924,joy,56,0.27184466019417475,0.06296296296296296,0.018518518518518517,0.2074074074074074,0.007407407407407408,0.014814814814814815,0.0,0.07037037037037037,0.2074074074074074,24.259481294248374
mark,105,32,0.3047619047619048,0.47619047619047616,-0.015612214392483503,anticipation,21,0.35714285714285715,0.01904761904761905,0.0380952380952381,0.12380952380952381,0.01904761904761905,0.01904761904761905,0.009523809523809525,0.047619047619047616,0.2,22.768898283276382
rutte,63,17,0.2698412698412698,0.36507936507936506,-0.1267233255035946,anticipation,9,0.42857142857142855,0.015873015873015872,0.047619047619047616,0.09523809523809523,0.015873015873015872,0.015873015873015872,0.0,0.031746031746031744,0.14285714285714285,22.547997500498845
secretary,153,73,0.477124183006536,0.9411764705882353,0.4493737800052756,anticipation,41,0.27722772277227725,0.13725490196078433,0.0392156862745098,0.2549019607843137,0.006535947712418301,0.0,0.013071895424836602,0.2222222222222222,0.2679738562091503,31.3124261327595
general,95,39,0.4105263157894737,0.8210526315789474,0.3292499409959877,joy,34,0.3333333333333333,0.09473684210526316,0.08421052631578947,0.35789473684210527,0.0,0.042105263157894736,0.021052631578947368,0.08421052631578947,0.1368421052631579,29.286314934096936
nato,134,56,0.417910447761194,0.6343283582089553,0.1425256676259956,joy,32,0.22950819672131148,0.022388059701492536,0.08208955223880597,0.23880597014925373,0.0,0.0,0.014925373134328358,0.11194029850746269,0.16417910447761194,24.84197815004761
highly,28,11,0.39285714285714285,0.8571428571428571,0.36534016655989743,trust,7,0.23529411764705882,0.0,0.07142857142857142,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.0,0.25,0.25,25.952442863843743
respected,58,21,0.3620689655172414,0.5172413793103449,0.025438688727385195,trust,16,0.0,0.0,0.0,0.20689655172413793,0.0,0.0,0.034482758620689655,0.27586206896551724,0.0,14.704136081276518
every,335,155,0.4626865671641791,0.9343283582089552,0.44252566762599554,trust,114,0.28936170212765955,0.07761194029850746,0.09253731343283582,0.1582089552238806,0.014925373134328358,0.01791044776119403,0.03880597014925373,0.3402985074626866,0.19402985074626866,31.039345916142494
country,1047,1047,1.0,1.9235912129894939,1.431788522406534,trust,1336,0.09982886480319453,0.0659025787965616,0.05730659025787966,0.23113658070678128,0.012416427889207259,0.03151862464183381,0.015281757402101241,1.2760267430754537,0.23400191021967526,55.45485201431162
almost,134,52,0.3880597014925373,0.5671641791044776,0.07536148852151792,anticipation,20,0.4909090909090909,0.07462686567164178,0.022388059701492536,0.09701492537313433,0.06716417910447761,0.03731343283582089,0.007462686567164179,0.11194029850746269,0.14925373134328357,30.905486059012702
europe,101,38,0.37623762376237624,0.6336633663366337,0.141860675753674,anticipation,22,0.23076923076923078,0.0594059405940594,0.019801980198019802,0.18811881188118812,0.009900990099009901,0.0,0.0297029702970297,0.10891089108910891,0.21782178217821782,23.2071091910778
think,1672,726,0.4342105263157895,0.7063397129186603,0.2145370223357006,anticipation,526,0.3386327503974563,0.05921052631578947,0.03409090909090909,0.15550239234449761,0.01674641148325359,0.017344497607655503,0.01555023923444976,0.09330143540669857,0.3145933014354067,29.394388994327702
can,1217,494,0.4059161873459326,0.666392769104355,0.1745900785213953,anticipation,248,0.3756906077348066,0.05751848808545604,0.07313064913722268,0.12161051766639278,0.014790468364831553,0.02218570254724733,0.016433853738701727,0.15694330320460148,0.2037797863599014,29.026717161048822
take,415,192,0.46265060240963857,0.7662650602409639,0.2744623696580042,anticipation,131,0.30601092896174864,0.03132530120481928,0.060240963855421686,0.13734939759036144,0.007228915662650603,0.03614457831325301,0.00963855421686747,0.1686746987951807,0.3156626506024096,30.074831303645595
away,100,45,0.45,0.81,0.3181973094170404,trust,29,0.19298245614035087,0.03,0.03,0.17,0.01,0.04,0.03,0.29,0.21,26.558551645704853
pretty,203,86,0.4236453201970443,0.7684729064039408,0.27667021582098117,anticipation,70,0.3582089552238806,0.06403940886699508,0.034482758620689655,0.15763546798029557,0.0049261083743842365,0.014778325123152709,0.09359605911330049,0.054187192118226604,0.3448275862068966,30.099774347468088
soon,98,98,1.0,1.9591836734693877,1.4673809828864282,anticipation,170,0.3333333333333333,0.04081632653061224,0.01020408163265306,0.061224489795918366,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.08163265306122448,1.7346938775510203,62.76972564058109
yeah,398,49,0.12311557788944724,0.17587939698492464,-0.31592329359803506,anticipation,32,0.22857142857142856,0.007537688442211055,0.010050251256281407,0.03768844221105527,0.0,0.002512562814070352,0.007537688442211055,0.03015075376884422,0.08040201005025126,9.032477390024225
but,3225,1504,0.46635658914728684,0.7903875968992248,0.2985849063162651,anticipation,785,0.363905325443787,0.08372093023255814,0.05581395348837209,0.19751937984496123,0.020775193798449613,0.030387596899224805,0.022945736434108528,0.13581395348837208,0.2434108527131783,32.169826455963076
they,5418,2282,0.42118863049095606,0.7083794758213363,0.21657678523837665,anticipation,1206,0.41455696202531644,0.07641196013289037,0.07235142118863049,0.1554078995939461,0.019010705057216686,0.025655223329641933,0.019195275009228498,0.11775562938353636,0.22259136212624583,31.168990328085073
all,1598,658,0.4117647058823529,0.7327909887359199,0.2409882981529602,anticipation,348,0.2888318356867779,0.060075093867334166,0.040675844806007506,0.17521902377972465,0.015018773466833541,0.025031289111389236,0.02753441802252816,0.17146433041301626,0.21777221526908636,27.232718126815815
great,1097,1097,1.0,1.772105742935278,1.2803030523523184,joy,1470,0.03660662405578152,0.023701002734731084,0.020054694621695533,1.340018231540565,0.008204193254329991,0.0054694621695533276,0.02187784867821331,0.17137648131267091,0.1814038286235187,52.239898734152774
respect,75,27,0.36,0.7333333333333333,0.24153064275037361,joy,17,0.2558139534883721,0.08,0.02666666666666667,0.22666666666666666,0.013333333333333334,0.02666666666666667,0.013333333333333334,0.2,0.14666666666666667,24.176313121267093
for,2635,1177,0.4466793168880455,0.7662239089184061,0.2744212183354464,anticipation,614,0.30594277329420394,0.07590132827324478,0.052371916508538896,0.15977229601518025,0.015939278937381403,0.014041745730550285,0.015939278937381403,0.19924098671726756,0.2330170777988615,29.433577097784074
leader,78,36,0.46153846153846156,0.7564102564102564,0.2646075658272967,joy,32,0.1,0.01282051282051282,0.05128205128205128,0.41025641025641024,0.0,0.0,0.05128205128205128,0.16666666666666666,0.0641025641025641,23.764257426445553
had,1083,445,0.41089566020313945,0.7026777469990766,0.21087505641611692,joy,255,0.31871838111298484,0.08217913204062789,0.04524469067405355,0.23545706371191136,0.013850415512465374,0.0332409972299169,0.036011080332409975,0.13758079409048937,0.11911357340720222,27.832495405584233
some,620,296,0.4774193548387097,0.8129032258064516,0.3211005352234919,anticipation,188,0.3783783783783784,0.06290322580645161,0.05806451612903226,0.1967741935483871,0.014516129032258065,0.04516129032258064,0.03225806451612903,0.1,0.3032258064516129,33.2424685176307
discussions,10,2,0.2,0.2,-0.29180269058295966,anger,1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,35.46061837833142
today,404,180,0.44554455445544555,0.7400990099009901,0.24829631931803042,anticipation,114,0.3,0.07178217821782178,0.04950495049504951,0.1806930693069307,0.007425742574257425,0.0049504950495049506,0.012376237623762377,0.1311881188118812,0.28217821782178215,28.982554269607785
things,526,247,0.4695817490494297,0.7718631178707225,0.2800604272877628,anticipation,152,0.4396551724137931,0.0817490494296578,0.057034220532319393,0.1311787072243346,0.019011406844106463,0.03612167300380228,0.04182509505703422,0.11596958174904944,0.2889733840304182,34.41012096898184
are,2132,1042,0.48874296435272047,0.7936210131332082,0.30181832255024854,anticipation,618,0.3790786948176583,0.06144465290806754,0.08067542213883677,0.1346153846153846,0.020168855534709193,0.02298311444652908,0.0150093808630394,0.16885553470919323,0.2898686679174484,33.54862100341893
going,2428,2428,1.0,1.8158978583196046,1.3240951677366448,anticipation,3435,0.3705636743215031,0.07248764415156507,0.051894563426688634,0.1453871499176277,0.01070840197693575,0.011120263591433279,0.006589785831960461,0.10296540362438221,1.4147446457990116,62.639706429958686
along,135,56,0.4148148148148148,0.5777777777777777,0.08597508719481806,anticipation,29,0.3617021276595745,0.05925925925925926,0.022222222222222223,0.17777777777777778,0.014814814814814815,0.02962962962962963,0.014814814814814815,0.044444444444444446,0.21481481481481482,28.191845398662778
