entity_key,entity_name,entity_type,speech_count,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_range,volatility,avg_anger,avg_fear,avg_joy,avg_sadness,avg_surprise,avg_disgust,avg_trust,avg_anticipation,dominant_emotion,dominant_emotion_score,avg_anaphora_total,avg_contrast_markers,avg_repetition_density,avg_alliteration_count,avg_superlative_count,avg_question_count,avg_exclamation_count,rhetorical_intensity
PERSON:Donald Trump,Donald Trump,PERSON,35,0.9416685714285714,0.33299963086331197,-0.9997,1.0,1.9997,0.33299963086331197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.2,87.37142857142857,0.3495922647876343,482.0,23.82857142857143,55.08571428571429,0.2571428571428571,94.01320705823498
PERSON:Mark Rutte,Mark Rutte,PERSON,5,0.9998400000000001,0.00022449944320645528,0.9994,1.0,0.0006000000000000449,0.00022449944320645528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.0,55.2,0.40919527403333855,302.2,15.2,32.8,0.0,59.1155993248619
PERSON:Mark,Mark,PERSON,9,0.9996999999999999,0.000594418483337574,0.9981,1.0,0.0019000000000000128,0.000594418483337574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.666666666666666,89.77777777777777,0.3892142468767829,519.4444444444445,25.88888888888889,46.333333333333336,0.1111111111111111,98.80163378129987
PERSON:Putin,Putin,PERSON,28,0.998507142857143,0.006900669148269431,0.9627,1.0,0.0373,0.006900669148269431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.535714285714286,90.07142857142857,0.3750483866910344,486.5,23.821428571428573,59.42857142857143,0.2857142857142857,95.57398650422117
PERSON:Xi,Xi,PERSON,17,0.9999470588235293,7.759356446042038e-05,0.9998,1.0,0.00019999999999997797,7.759356446042038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.117647058823529,102.11764705882354,0.27871210751898295,564.1764705882352,27.11764705882353,68.17647058823529,0.058823529411764705,110.14905971283883
PERSON:Marco,Marco,PERSON,17,0.8823,0.47050002187910184,-0.9997,1.0,1.9997,0.47050002187910184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.352941176470589,94.41176470588235,0.33369096993239744,528.2941176470588,25.294117647058822,59.76470588235294,0.058823529411764705,102.50145165116679
PERSON:Marco Rubio,Marco Rubio,PERSON,17,0.8822764705882352,0.47049415015355905,-0.9997,1.0,1.9997,0.47049415015355905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.588235294117647,89.6470588235294,0.40042503004722374,524.0,28.235294117647058,53.23529411764706,0.058823529411764705,100.73787584462859
PERSON:Bessent,Bessent,PERSON,4,0.9999500000000001,4.999999999999449e-05,0.9999,1.0,9.999999999998899e-05,4.999999999999449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,14.5,148.25,0.31729664306565597,880.0,42.0,73.0,0.25,165.47389952043795
PERSON:Vladimir Putin,Vladimir Putin,PERSON,10,0.99992,7.483314773547059e-05,0.9998,1.0,0.00019999999999997797,7.483314773547059e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.2,105.9,0.395582520653224,564.2,29.1,68.9,0.8,111.35651178866475
PERSON:Rutte,Rutte,PERSON,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.0,71.0,0.2575991756826378,405.0,21.0,36.0,0.0,77.32251416795465
PERSON:Vladimir,Vladimir,PERSON,3,0.9999333333333333,4.714045207909798e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.0,90.0,0.23140561471476273,399.3333333333333,23.0,58.666666666666664,0.0,83.03305794495925
PERSON:Jeff,Jeff,PERSON,4,0.9999750000000001,4.330127018921716e-05,0.9999,1.0,9.999999999998899e-05,4.330127018921716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,7.0,93.75,0.2981408785407328,518.0,26.75,70.5,0.0,102.32830583979153
PERSON:Brian,Brian,PERSON,11,0.8181636363636364,0.5748589602087032,-0.9997,1.0,1.9997,0.5748589602087032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.818181818181818,92.18181818181819,0.29390110368466,480.3636363636364,21.09090909090909,71.45454545454545,0.7272727272727273,96.56146639143549
PERSON:Zelensky,Zelensky,PERSON,9,0.9998888888888889,0.0001448711645600429,0.9995,1.0,0.0004999999999999449,0.0001448711645600429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.222222222222221,87.88888888888889,0.3712468474516695,485.44444444444446,25.88888888888889,56.0,0.0,95.11652732741375
PERSON:Biden,Biden,PERSON,36,0.944311111111111,0.3285980200266461,-0.9997,1.0,1.9997,0.3285980200266461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,9.055555555555555,89.86111111111111,0.3187622392911643,489.3333333333333,24.055555555555557,58.638888888888886,0.25,95.9304580976765
PERSON:Scott,Scott,PERSON,12,0.9999250000000001,8.291561975887585e-05,0.9998,1.0,0.00019999999999997797,8.291561975887585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.5,102.75,0.39283667424381347,580.5833333333334,28.666666666666668,69.08333333333333,0.08333333333333333,112.8656433344158
PERSON:Howard,Howard,PERSON,11,0.9999545454545455,6.555547773570167e-05,0.9998,1.0,0.00019999999999997797,6.555547773570167e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.272727272727273,105.45454545454545,0.32486976474608203,617.1818181818181,34.0,61.54545454545455,0.09090909090909091,118.41004633002865
PERSON:Gavin Newsom,Gavin Newsom,PERSON,8,0.99995,7.071067811864696e-05,0.9998,1.0,0.00019999999999997797,7.071067811864696e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,13.5,134.625,0.15344315855461177,736.875,37.125,76.875,0.125,142.75406330836495
PERSON:Gavin,Gavin,PERSON,3,0.9999666666666668,4.714045207909797e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,18.666666666666668,175.33333333333334,0.24572424561679374,1058.0,53.333333333333336,97.0,0.0,200.36843679699288
PERSON:Modi,Modi,PERSON,3,0.9999666666666668,4.714045207909797e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,18.666666666666668,175.33333333333334,0.24572424561679374,1058.0,53.333333333333336,97.0,0.0,200.36843679699288
PERSON:Obama,Obama,PERSON,14,0.9997785714285714,0.0004828169890320359,0.9981,1.0,0.0019000000000000128,0.0004828169890320359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.714285714285714,110.28571428571429,0.3909021960147444,582.6428571428571,33.07142857142857,62.642857142857146,0.0,114.24972072187964
PERSON:Liam,Liam,PERSON,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.0,71.0,0.2575991756826378,405.0,21.0,36.0,0.0,77.32251416795465
PERSON:Trump,Trump,PERSON,39,0.9475025641025641,0.3159335011880072,-0.9997,1.0,1.9997,0.3159335011880072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.846153846153847,85.05128205128206,0.36492115703107025,464.64102564102564,23.17948717948718,54.282051282051285,0.23076923076923078,90.94224148397147
ORG:NATO,NATO,ORG,24,0.9999083333333334,0.00015252504348102467,0.9994,1.0,0.0006000000000000449,0.00015252504348102467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,8.625,85.5,0.3744561884779362,463.7083333333333,24.958333333333332,55.041666666666664,0.3333333333333333,91.2201604078778
ORG:Congress,Congress,ORG,19,0.8946736842105263,0.44650817502047013,-0.9997,1.0,1.9997,0.44650817502047013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,11.052631578947368,112.05263157894737,0.2663557931957985,612.3684210526316,29.842105263157894,70.05263157894737,0.0,119.37639669226107
ORG:the White House,the White House,ORG,18,0.9999444444444444,0.00011653431646333733,0.9995,1.0,0.0004999999999999449,0.00011653431646333733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,11.166666666666666,106.66666666666667,0.3116483706851043,575.3333333333334,29.27777777777778,60.55555555555556,0.0,111.90166405295504
ORG:Wall Street Journal,Wall Street Journal,ORG,3,0.9999333333333333,4.7140452079097985e-05,0.9999,1.0,9.999999999998899e-05,4.7140452079097985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,15.666666666666666,143.0,0.3953888235568755,701.3333333333334,41.0,59.666666666666664,0.0,137.2945793557462
ORG:the Board of Peace,the Board of Peace,ORG,5,0.9999600000000001,4.898979485565817e-05,0.9999,1.0,9.999999999998899e-05,4.898979485565817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,12.2,98.4,0.5150600844553649,519.8,34.0,39.2,0.0,100.58786572635077
ORG:Fed,Fed,ORG,8,0.999925,8.291561975887587e-05,0.9998,1.0,0.00019999999999997797,8.291561975887587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,11.625,105.75,0.36889240679886187,626.875,31.0,69.25,0.0,120.69555605811412
ORG:ICE,ICE,ORG,10,0.7998100000000001,0.5998369252555231,-0.9997,1.0,1.9997,0.5998369252555231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,11.0,116.2,0.3064983358455472,696.7,28.3,73.1,0.1,132.24378547654936
ORG:FBI,FBI,ORG,10,0.79992,0.5998733596351816,-0.9997,1.0,1.9997,0.5998733596351816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,10.6,108.0,0.3273716463782189,657.7,27.2,70.1,0.1,124.86105309233976
ORG:Gallup,Gallup,ORG,2,0.99995,4.999999999999449e-05,0.9999,1.0,9.999999999998899e-05,4.999999999999449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.0,5.5,82.0,0.43765945370789144,491.5,25.0,63.0,0.0,95.34823706481541
