entity_key,entity_name,entity_type,speech_count,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_range,volatility,avg_anger,avg_fear,avg_joy,avg_sadness,avg_surprise,avg_disgust,avg_trust,avg_anticipation,dominant_emotion,dominant_emotion_score,avg_anaphora_total,avg_contrast_markers,avg_repetition_density,avg_alliteration_count,avg_superlative_count,avg_question_count,avg_exclamation_count,rhetorical_intensity
PERSON:Donald Trump,Donald Trump,PERSON,35,0.9416685714285714,0.33299963086331197,-0.9997,1.0,1.9997,0.33299963086331197,3.628429405125859,1.4329219628332182,9.265816967678374,0.683863541663234,1.2322560719874134,1.36420320072256,6.381200606034083,11.634476122968781,anticipation,11.634476122968781,9.2,87.37142857142857,0.3495922647876343,482.0,23.82857142857143,55.08571428571429,0.2571428571428571,94.01320705823498
PERSON:Mark Rutte,Mark Rutte,PERSON,5,0.9998400000000001,0.00022449944320645528,0.9994,1.0,0.0006000000000000449,0.00022449944320645528,4.15435071939757,0.591976154445313,8.334266845068024,0.32271120408119813,0.8051933882299241,1.078274683421937,3.785175639024277,14.946367155552432,anticipation,14.946367155552432,8.0,55.2,0.40919527403333855,302.2,15.2,32.8,0.0,59.1155993248619
PERSON:Mark,Mark,PERSON,9,0.9996999999999999,0.000594418483337574,0.9981,1.0,0.0019000000000000128,0.000594418483337574,3.5653833680131815,1.1026628937517677,8.050149623448464,0.35702621943719925,0.9501668349135315,0.9537749179240032,4.775854402404017,12.99920152125353,anticipation,12.99920152125353,9.666666666666666,89.77777777777777,0.3892142468767829,519.4444444444445,25.88888888888889,46.333333333333336,0.1111111111111111,98.80163378129987
PERSON:Putin,Putin,PERSON,28,0.998507142857143,0.006900669148269431,0.9627,1.0,0.0373,0.006900669148269431,4.251663262351153,1.4390494128063902,8.332227209838305,0.7905378745099394,0.9795015824517656,1.4590247817895443,5.89201561956969,11.264805785309667,anticipation,11.264805785309667,8.535714285714286,90.07142857142857,0.3750483866910344,486.5,23.821428571428573,59.42857142857143,0.2857142857142857,95.57398650422117
PERSON:Xi,Xi,PERSON,17,0.9999470588235293,7.759356446042038e-05,0.9998,1.0,0.00019999999999997797,7.759356446042038e-05,3.4293773917286274,1.4985662675298699,8.739200103122336,0.7370497155011656,1.2835439622497902,1.422497606034828,7.330547030083265,10.971462468139926,anticipation,10.971462468139926,9.117647058823529,102.11764705882354,0.27871210751898295,564.1764705882352,27.11764705882353,68.17647058823529,0.058823529411764705,110.14905971283883
PERSON:Marco,Marco,PERSON,17,0.8823,0.47050002187910184,-0.9997,1.0,1.9997,0.47050002187910184,3.7427652552810398,1.3204675249041684,9.797710836278087,0.5268627568100936,1.410224535582044,1.2301690975390054,6.0033879866872155,12.409630838402123,anticipation,12.409630838402123,9.352941176470589,94.41176470588235,0.33369096993239744,528.2941176470588,25.294117647058822,59.76470588235294,0.058823529411764705,102.50145165116679
PERSON:Marco Rubio,Marco Rubio,PERSON,17,0.8822764705882352,0.47049415015355905,-0.9997,1.0,1.9997,0.47049415015355905,3.2834252875838397,1.2631178530407714,10.55654616141746,0.5101636627501422,1.4661800002912024,1.3424260504465753,7.185010396500736,12.186965152879631,anticipation,12.186965152879631,9.588235294117647,89.6470588235294,0.40042503004722374,524.0,28.235294117647058,53.23529411764706,0.058823529411764705,100.73787584462859
PERSON:Bessent,Bessent,PERSON,4,0.9999500000000001,4.999999999999449e-05,0.9999,1.0,9.999999999998899e-05,4.999999999999449e-05,4.368757759280678,1.6277398261655767,7.512224679521774,0.5169880668503771,1.1827727635104268,0.9309180317700787,6.10957265575413,11.101563053782375,anticipation,11.101563053782375,14.5,148.25,0.31729664306565597,880.0,42.0,73.0,0.25,165.47389952043795
PERSON:Vladimir Putin,Vladimir Putin,PERSON,10,0.99992,7.483314773547059e-05,0.9998,1.0,0.00019999999999997797,7.483314773547059e-05,4.470447996724035,1.035158623704146,8.588814686588474,0.8992713342798039,1.1376412664133932,1.8516177498323056,6.177804056983134,11.826937916812437,anticipation,11.826937916812437,10.2,105.9,0.395582520653224,564.2,29.1,68.9,0.8,111.35651178866475
PERSON:Rutte,Rutte,PERSON,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,5.795981452859351,1.15919629057187,6.053580628541988,0.5151983513652757,0.6439979392065945,1.9319938176197837,6.697578567748583,12.107161257083977,anticipation,12.107161257083977,8.0,71.0,0.2575991756826378,405.0,21.0,36.0,0.0,77.32251416795465
PERSON:Vladimir,Vladimir,PERSON,3,0.9999333333333333,4.714045207909798e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909798e-05,4.514432942743963,0.8468894561047197,8.938614459752051,0.7897759138528238,0.7965160606036155,1.928904084023025,5.323202055192695,14.6431615036392,anticipation,14.6431615036392,10.0,90.0,0.23140561471476273,399.3333333333333,23.0,58.666666666666664,0.0,83.03305794495925
PERSON:Jeff,Jeff,PERSON,4,0.9999750000000001,4.330127018921716e-05,0.9999,1.0,9.999999999998899e-05,4.330127018921716e-05,3.312247451819247,1.86084681904519,8.835009129849059,0.39921249089121824,1.092447030439472,1.5149971732907732,9.327638973036793,13.965334114983143,anticipation,13.965334114983143,7.0,93.75,0.2981408785407328,518.0,26.75,70.5,0.0,102.32830583979153
PERSON:Brian,Brian,PERSON,11,0.8181636363636364,0.5748589602087032,-0.9997,1.0,1.9997,0.5748589602087032,3.6990138176533804,1.4820976891580377,7.8587229316002185,0.7373340361378411,0.9861371677757691,1.7418351564494117,6.177031934953436,12.046722874498014,anticipation,12.046722874498014,9.818181818181818,92.18181818181819,0.29390110368466,480.3636363636364,21.09090909090909,71.45454545454545,0.7272727272727273,96.56146639143549
PERSON:Zelensky,Zelensky,PERSON,9,0.9998888888888889,0.0001448711645600429,0.9995,1.0,0.0004999999999999449,0.0001448711645600429,4.692612146586516,1.1275681105195363,7.595819279640884,0.6783847161730443,1.026091452748465,1.2361691394036984,6.088627792678371,12.353355651626828,anticipation,12.353355651626828,10.222222222222221,87.88888888888889,0.3712468474516695,485.44444444444446,25.88888888888889,56.0,0.0,95.11652732741375
PERSON:Biden,Biden,PERSON,36,0.944311111111111,0.3285980200266461,-0.9997,1.0,1.9997,0.3285980200266461,3.688159721623557,1.37054010799474,8.785384870435001,0.6349108973908765,1.2369559834131494,1.361967910097838,6.47952013475459,11.400203292740484,anticipation,11.400203292740484,9.055555555555555,89.86111111111111,0.3187622392911643,489.3333333333333,24.055555555555557,58.638888888888886,0.25,95.9304580976765
PERSON:Scott,Scott,PERSON,12,0.9999250000000001,8.291561975887585e-05,0.9998,1.0,0.00019999999999997797,8.291561975887585e-05,3.859065270227014,1.3312631096906644,8.83393210419545,0.7278880923840835,1.2285871346923316,1.8283971806254284,7.281423801851417,10.732887591615563,anticipation,10.732887591615563,8.5,102.75,0.39283667424381347,580.5833333333334,28.666666666666668,69.08333333333333,0.08333333333333333,112.8656433344158
PERSON:Howard,Howard,PERSON,11,0.9999545454545455,6.555547773570167e-05,0.9998,1.0,0.00019999999999997797,6.555547773570167e-05,2.7681225331593784,1.1824652628901822,8.470572031738577,0.5489889721621598,1.2708865331274186,1.188787094843111,7.83920229808171,12.477487154028209,anticipation,12.477487154028209,10.272727272727273,105.45454545454545,0.32486976474608203,617.1818181818181,34.0,61.54545454545455,0.09090909090909091,118.41004633002865
PERSON:Gavin Newsom,Gavin Newsom,PERSON,8,0.99995,7.071067811864696e-05,0.9998,1.0,0.00019999999999997797,7.071067811864696e-05,3.36471311439967,1.8509068983211958,9.158844248744098,0.6888143781514316,1.227810649829551,1.4618919437817484,7.28080989682941,11.29703308486456,anticipation,11.29703308486456,13.5,134.625,0.15344315855461177,736.875,37.125,76.875,0.125,142.75406330836495
PERSON:Gavin,Gavin,PERSON,3,0.9999666666666668,4.714045207909797e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909797e-05,4.119931858107254,1.3274384811519706,8.259253885580675,0.6037986011939355,1.0672411995892976,1.5733583313515254,7.499615897275475,11.868632340908638,anticipation,11.868632340908638,18.666666666666668,175.33333333333334,0.24572424561679374,1058.0,53.333333333333336,97.0,0.0,200.36843679699288
PERSON:Modi,Modi,PERSON,3,0.9999666666666668,4.714045207909797e-05,0.9999,1.0,9.999999999998899e-05,4.714045207909797e-05,4.119931858107254,1.3274384811519706,8.259253885580675,0.6037986011939355,1.0672411995892976,1.5733583313515254,7.499615897275475,11.868632340908638,anticipation,11.868632340908638,18.666666666666668,175.33333333333334,0.24572424561679374,1058.0,53.333333333333336,97.0,0.0,200.36843679699288
PERSON:Obama,Obama,PERSON,14,0.9997785714285714,0.0004828169890320359,0.9981,1.0,0.0019000000000000128,0.0004828169890320359,4.636082344683997,1.3071484782011653,8.46803935291439,0.6044210750775642,1.0419121547327,1.5508906720419358,6.433773003484027,11.807554437835401,anticipation,11.807554437835401,10.714285714285714,110.28571428571429,0.3909021960147444,582.6428571428571,33.07142857142857,62.642857142857146,0.0,114.24972072187964
PERSON:Liam,Liam,PERSON,1,0.9999,0.0,0.9999,0.9999,0.0,0.0,5.795981452859351,1.15919629057187,6.053580628541988,0.5151983513652757,0.6439979392065945,1.9319938176197837,6.697578567748583,12.107161257083977,anticipation,12.107161257083977,8.0,71.0,0.2575991756826378,405.0,21.0,36.0,0.0,77.32251416795465
PERSON:Trump,Trump,PERSON,39,0.9475025641025641,0.3159335011880072,-0.9997,1.0,1.9997,0.3159335011880072,3.7684257403751635,1.4970491537898152,8.976648238302634,0.7926551000190235,1.2223335077132924,1.379113823592633,6.194381000026383,11.500050193232624,anticipation,11.500050193232624,8.846153846153847,85.05128205128206,0.36492115703107025,464.64102564102564,23.17948717948718,54.282051282051285,0.23076923076923078,90.94224148397147
ORG:NATO,NATO,ORG,24,0.9999083333333334,0.00015252504348102467,0.9994,1.0,0.0006000000000000449,0.00015252504348102467,3.729503424614768,1.3943602694423856,9.6465442047284,0.709426593674972,1.2185930758650214,1.3341554662900703,6.087327723988444,12.241472291835754,anticipation,12.241472291835754,8.625,85.5,0.3744561884779362,463.7083333333333,24.958333333333332,55.041666666666664,0.3333333333333333,91.2201604078778
ORG:Congress,Congress,ORG,19,0.8946736842105263,0.44650817502047013,-0.9997,1.0,1.9997,0.44650817502047013,4.00093355049937,1.7438209508083036,9.169962862967596,0.6380665060042655,1.241862224865995,1.6538006140877948,6.931640333958228,11.028464579737234,anticipation,11.028464579737234,11.052631578947368,112.05263157894737,0.2663557931957985,612.3684210526316,29.842105263157894,70.05263157894737,0.0,119.37639669226107
ORG:the White House,the White House,ORG,18,0.9999444444444444,0.00011653431646333733,0.9995,1.0,0.0004999999999999449,0.00011653431646333733,3.9207243172679256,1.5375038766049223,8.986996715599172,0.6140824073608204,1.2457798047970572,1.286553957039083,6.32402758245237,12.173110977006182,anticipation,12.173110977006182,11.166666666666666,106.66666666666667,0.3116483706851043,575.3333333333334,29.27777777777778,60.55555555555556,0.0,111.90166405295504
ORG:Wall Street Journal,Wall Street Journal,ORG,3,0.9999333333333333,4.7140452079097985e-05,0.9999,1.0,9.999999999998899e-05,4.7140452079097985e-05,5.537407408308312,1.4340370806849954,8.087468102879418,0.4208348455071696,0.8587980210042105,1.5874063980807243,6.087414133888312,10.52050860897385,anticipation,10.52050860897385,15.666666666666666,143.0,0.3953888235568755,701.3333333333334,41.0,59.666666666666664,0.0,137.2945793557462
ORG:the Board of Peace,the Board of Peace,ORG,5,0.9999600000000001,4.898979485565817e-05,0.9999,1.0,9.999999999998899e-05,4.898979485565817e-05,5.797124192198173,1.4107714495929873,10.953167829082634,0.43064178969555095,1.7351302206896857,1.197239790233274,5.584449299338333,11.891012464212412,anticipation,11.891012464212412,12.2,98.4,0.5150600844553649,519.8,34.0,39.2,0.0,100.58786572635077
ORG:Fed,Fed,ORG,8,0.999925,8.291561975887587e-05,0.9998,1.0,0.00019999999999997797,8.291561975887587e-05,3.701888190538037,1.5295605227776752,7.740809327827072,0.5627525935573952,0.7600185879395347,1.858065684152405,7.5898820750722535,11.413142911071775,anticipation,11.413142911071775,11.625,105.75,0.36889240679886187,626.875,31.0,69.25,0.0,120.69555605811412
ORG:ICE,ICE,ORG,10,0.7998100000000001,0.5998369252555231,-0.9997,1.0,1.9997,0.5998369252555231,3.3668537474942495,2.4405790225570465,7.223773883852009,0.4952057584403864,1.2036788960160114,1.2818596393523898,6.74718184766544,9.99099932324092,anticipation,9.99099932324092,11.0,116.2,0.3064983358455472,696.7,28.3,73.1,0.1,132.24378547654936
ORG:FBI,FBI,ORG,10,0.79992,0.5998733596351816,-0.9997,1.0,1.9997,0.5998733596351816,3.275650026476306,2.0959994592183495,7.65896993985924,0.4658118701321605,0.8909507584917872,1.5630353852245138,7.2203325852705,10.34511182865981,anticipation,10.34511182865981,10.6,108.0,0.3273716463782189,657.7,27.2,70.1,0.1,124.86105309233976
ORG:Gallup,Gallup,ORG,2,0.99995,4.999999999999449e-05,0.9999,1.0,9.999999999998899e-05,4.999999999999449e-05,5.677729519228828,1.859160446733164,8.012671006117094,0.43409052760639355,0.8514730253745644,2.245559210257121,8.422915651682269,12.892620515587524,anticipation,12.892620515587524,5.5,82.0,0.43765945370789144,491.5,25.0,63.0,0.0,95.34823706481541
